variableURI,variable,date,value,objectURI,provenanceURI,experimentURI
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.881465,http://www.opensilex.org/demo/2018/o18000290,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.868865,http://www.opensilex.org/demo/2018/o18000289,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.87072,http://www.opensilex.org/demo/2018/o18000288,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.891425,http://www.opensilex.org/demo/2018/o18000287,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88576,http://www.opensilex.org/demo/2018/o18000286,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.893265,http://www.opensilex.org/demo/2018/o18000285,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.882175,http://www.opensilex.org/demo/2018/o18000284,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.880905,http://www.opensilex.org/demo/2018/o18000283,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.892435,http://www.opensilex.org/demo/2018/o18000282,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.888685,http://www.opensilex.org/demo/2018/o18000281,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.87988,http://www.opensilex.org/demo/2018/o18000280,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.85138,http://www.opensilex.org/demo/2018/o18000279,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.86705,http://www.opensilex.org/demo/2018/o18000278,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.898125,http://www.opensilex.org/demo/2018/o18000277,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.89864,http://www.opensilex.org/demo/2018/o18000276,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88094,http://www.opensilex.org/demo/2018/o18000275,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.873035,http://www.opensilex.org/demo/2018/o18000274,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.863425,http://www.opensilex.org/demo/2018/o18000273,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.901465,http://www.opensilex.org/demo/2018/o18000272,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.879115,http://www.opensilex.org/demo/2018/o18000271,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.882535,http://www.opensilex.org/demo/2018/o18000270,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.8863,http://www.opensilex.org/demo/2018/o18000269,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.8929,http://www.opensilex.org/demo/2018/o18000268,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.916985,http://www.opensilex.org/demo/2018/o18000267,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.899765,http://www.opensilex.org/demo/2018/o18000266,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88092,http://www.opensilex.org/demo/2018/o18000265,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.900245,http://www.opensilex.org/demo/2018/o18000264,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.892725,http://www.opensilex.org/demo/2018/o18000263,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88421,http://www.opensilex.org/demo/2018/o18000262,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.87438,http://www.opensilex.org/demo/2018/o18000261,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.89288,http://www.opensilex.org/demo/2018/o18000195,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.862745,http://www.opensilex.org/demo/2018/o18000194,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88018,http://www.opensilex.org/demo/2018/o18000193,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.903585,http://www.opensilex.org/demo/2018/o18000192,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.87926,http://www.opensilex.org/demo/2018/o18000191,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.86348,http://www.opensilex.org/demo/2018/o18000190,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.880395,http://www.opensilex.org/demo/2018/o18000189,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.86038,http://www.opensilex.org/demo/2018/o18000188,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.863655,http://www.opensilex.org/demo/2018/o18000187,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.857925,http://www.opensilex.org/demo/2018/o18000186,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.863605,http://www.opensilex.org/demo/2018/o18000185,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.878325,http://www.opensilex.org/demo/2018/o18000184,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.906165,http://www.opensilex.org/demo/2018/o18000183,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88229,http://www.opensilex.org/demo/2018/o18000182,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.915885,http://www.opensilex.org/demo/2018/o18000181,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.873365,http://www.opensilex.org/demo/2018/o18000180,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.87768,http://www.opensilex.org/demo/2018/o18000179,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.86606,http://www.opensilex.org/demo/2018/o18000178,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.873075,http://www.opensilex.org/demo/2018/o18000177,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88129,http://www.opensilex.org/demo/2018/o18000176,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.88541,http://www.opensilex.org/demo/2018/o18000175,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.852175,http://www.opensilex.org/demo/2018/o18000174,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.887555,http://www.opensilex.org/demo/2018/o18000173,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.874475,http://www.opensilex.org/demo/2018/o18000172,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.89036,http://www.opensilex.org/demo/2018/o18000171,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
