experimentUri,uri,name,type
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000177,177/DZ_PG_23/ZM4388/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000176,176/DKC4590/XXXX/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000175,175/DKC4590/XXXX/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000174,174/DZ_PG_05/ZM4357/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000173,173/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000172,172/DZ_PG_08/ZM4343/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000171,171/DZ_PG_03/ZM4377/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000170,170/DZ_PG_37/ZM4364/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000169,169/DZ_PG_35/ZM4358/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000168,168/DZ_PG_51/ZM4350/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000167,167/DZ_PG_26/ZM4387/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000166,166/DZ_PG_02/ZM4356/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000165,165/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000164,164/DZ_PG_17/ZM4348/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000163,163/DKC4590/XXXX/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000162,162/DZ_PG_19/ZM4367/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000161,161/DZ_PG_52/ZM4370/WD1/1/DIA2017-05-19 ,vocabulary:Plot
